SampleID,Row.names.x,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name,HOST,Organism,Platform,Sample.Name,S.obs,S.chao1,se.chao1.x,S.ACE,se.ACE.x,sample_sums(g16F4),Row.names.y,S.obs_rare,S.chao1_rare,se.chao1.y,S.ACE_rare,se.ACE.y,sample_sums(g16F4Rare),Row.names.x,S.obs_antiRare,S.chao1_antiRare,se.chao1.x,S.ACE_antiRare,se.ACE.x,sample_sums(g16AntiRare),Row.names.y,S.obs_anti,S.chao1_anti,se.chao1.y,S.ACE_anti,se.ACE.y,sample_sums(g16Anti),AntiBdRARare,AntiBdRA
DMP12,DMP12,freshwater biome [ENVO:00000873],skin environment [ENVO:2100003],mucus material [ENVO:02000040],SRX22507214,USA: Maryland,Desmognathus ochrophaeus,skin metagenome,ILLUMINA,DMP12,499,512,6.710798212,507.942405,11.11786349,12104,DMP12,382,501,28.89590006,476.8379392,10.06031266,2022,DMP12,32,33.2,1.837950666,33.98347107,2.820695639,476,DMP12,36,36,0,36,2.074983266,2825,0.235410485,0.233393919
DMP13,DMP13,freshwater biome [ENVO:00000873],skin environment [ENVO:2100003],mucus material [ENVO:02000040],SRX22506752,USA: Maryland,Desmognathus fuscus,skin metagenome,ILLUMINA,DMP13,22,22,0,22,2.335496832,8985,DMP13,20,20.42857143,0.911043054,22.75984991,2.419589722,2022,DMP13,1,1,0,1,0,2,DMP13,1,1,0,1,0,8,0.00098912,0.000890373
DMP14,DMP14,freshwater biome [ENVO:00000873],skin environment [ENVO:2100003],mucus material [ENVO:02000040],SRX22506763,USA: Maryland,Desmognathus fuscus,skin metagenome,ILLUMINA,DMP14,121,121,0,121,5.14098746,22907,DMP14,92,122.6666667,16.94097049,114.6891221,5.357635267,2022,DMP14,4,4.5,1.25,7.224691358,1.309174416,11,DMP14,4,4,0,4,0.866025404,171,0.005440158,0.007464967
DMP16,DMP16,freshwater biome [ENVO:00000873],skin environment [ENVO:2100003],mucus material [ENVO:02000040],SRX22507218,USA: Maryland,Eurycea bislineata,skin metagenome,ILLUMINA,DMP16,187,187.8571429,1.395069369,187.8144824,6.794866489,9151,DMP16,166,192.5588235,10.6710812,201.0549884,6.942922068,2022,DMP16,21,21.25,0.733739165,22.35850483,2.319935279,959,DMP16,21,21,0,21,1.345185418,4270,0.474282888,0.46661567
DMP17,DMP17,freshwater biome [ENVO:00000873],skin environment [ENVO:2100003],mucus material [ENVO:02000040],SRX22506967,USA: Maryland,Eurycea bislineata,skin metagenome,ILLUMINA,DMP17,149,158.3333333,8.863780327,151.1405016,5.971050159,10124,DMP17,122,140.59375,8.350654773,149.3965747,5.711724788,2022,DMP17,9,10.5,2.55650431,11.83888889,1.596605808,83,DMP17,9,9,0,9,1.490711985,429,0.041048467,0.042374556
DMP18,DMP18,freshwater biome [ENVO:00000873],skin environment [ENVO:2100003],mucus material [ENVO:02000040],SRX22506979,USA: Maryland,Eurycea bislineata,skin metagenome,ILLUMINA,DMP18,1479,1500.982759,8.296598007,1492.742279,18.85012921,41708,DMP18,792,1227.754491,59.66127169,1251.460156,20.33430139,2022,DMP18,31,32.875,2.25480898,34.60466351,2.423947503,156,DMP18,39,39,0,39,1.377474463,3618,0.077151335,0.086745948
DMP19,DMP19,freshwater biome [ENVO:00000873],skin environment [ENVO:2100003],mucus material [ENVO:02000040],SRX22507221,USA: Maryland,Eurycea bislineata,skin metagenome,ILLUMINA,DMP19,1408,1435.363636,10.98570244,1417.118205,18.36869757,44379,DMP19,718,1034.179775,45.47872885,1128.681405,20.0913554,2022,DMP19,34,40,5.383858978,39.46114405,2.694536511,177,DMP19,45,45,0,45,1.909042808,3973,0.087537092,0.089524325
DMP20,DMP20,freshwater biome [ENVO:00000873],skin environment [ENVO:2100003],mucus material [ENVO:02000040],SRX22507222,USA: Maryland,Eurycea bislineata,skin metagenome,ILLUMINA,DMP20,1093,1103.6875,6.540654293,1096.480142,14.58388459,42328,DMP20,640,929.0671141,44.57408998,1011.832127,19.08317509,2022,DMP20,38,41.11111111,3.099585932,42.64732344,2.69464746,258,DMP20,46,46,0.494535355,46.53418482,1.528524263,5510,0.127596439,0.13017388
DMP21,DMP21,freshwater biome [ENVO:00000873],skin environment [ENVO:2100003],mucus material [ENVO:02000040],SRX22507223,USA: Maryland,Eurycea bislineata,skin metagenome,ILLUMINA,DMP21,455,460.6,5.348793932,458.4166578,6.123544855,37450,DMP21,382,439.8108108,15.73759363,441.1947186,8.594360011,2022,DMP21,25,27.14285714,2.52771004,30.2637327,2.70004561,379,DMP21,31,31,0.491869377,31.43258102,2.002635875,7119,0.18743818,0.190093458
DMP22,DMP22,freshwater biome [ENVO:00000873],skin environment [ENVO:2100003],mucus material [ENVO:02000040],SRX22506780,USA: Maryland,Eurycea bislineata,skin metagenome,ILLUMINA,DMP22,628,637.1,6.485663529,632.677495,8.78392197,63955,DMP22,365,495.84375,27.21644527,551.9921597,13.98194628,2022,DMP22,23,23.33333333,0.757634731,24.54156356,2.184751053,343,DMP22,28,28,0.490990253,NA,NA,11041,0.169634026,0.17263701
DMP23,DMP23,temperate woodland biome [ENVO:01000221],skin environment [ENVO:2100003],mucus material [ENVO:02000040],SRX22506791,USA: Maryland,Plethodon glutinosus,skin metagenome,ILLUMINA,DMP23,759,765.0666667,4.437987059,761.735361,12.2203723,35283,DMP23,476,683.0095238,37.8857864,716.0935747,15.75391308,2022,DMP23,22,22.75,1.418955878,23.34237344,2.118155392,467,DMP23,26,26,0,26,1.358732441,7969,0.230959446,0.225859479
DMP24,DMP24,temperate woodland biome [ENVO:01000221],skin environment [ENVO:2100003],mucus material [ENVO:02000040],SRX22507228,USA: Maryland,Plethodon cinereus,skin metagenome,ILLUMINA,DMP24,796,808.8333333,7.270480497,801.9954733,13.01260712,59269,DMP24,452,583.9468085,27.5454265,601.6385111,12.31483863,2022,DMP24,14,14,0.120453014,14.50428264,1.757464709,305,DMP24,18,18,0,18,0.971825316,8347,0.150840752,0.140832476
DMP25,DMP25,temperate woodland biome [ENVO:01000221],skin environment [ENVO:2100003],mucus material [ENVO:02000040],SRX22506818,USA: Maryland,Plethodon cinereus,skin metagenome,ILLUMINA,DMP25,655,668.1538462,7.994549157,659.2803469,12.01496113,36705,DMP25,414,542.1734694,26.64593209,582.4059635,12.89413368,2022,DMP25,26,31.25,5.361829795,31.625,2.650982486,223,DMP25,28,28,0.490990253,28.35914048,1.777763977,3690,0.110286845,0.100531263
DMP26,DMP26,temperate woodland biome [ENVO:01000221],skin environment [ENVO:2100003],mucus material [ENVO:02000040],SRX22506995,USA: Maryland,Plethodon cinereus,skin metagenome,ILLUMINA,DMP26,491,498.5,6.353993844,493.9290982,7.979997335,47943,DMP26,330,404.0344828,18.17501273,438.5822248,10.74049786,2022,DMP26,29,30.5,2.22694242,30.71468249,2.361258788,276,DMP26,32,32,0.246062746,33,1.021655657,6516,0.136498516,0.135911395
DMP27,DMP27,temperate woodland biome [ENVO:01000221],skin environment [ENVO:2100003],mucus material [ENVO:02000040],SRX22506820,USA: Maryland,Plethodon cinereus,skin metagenome,ILLUMINA,DMP27,314,319.1428571,4.652522949,315.7826654,8.444710371,8589,DMP27,286,310.5,9.314906179,311.0354895,6.830799618,2022,DMP27,16,16,0.161374306,16.48415201,1.98510129,372,DMP27,17,17,0,17,1.328422328,1672,0.183976261,0.194667598
DMP28,DMP28,temperate woodland biome [ENVO:01000221],skin environment [ENVO:2100003],mucus material [ENVO:02000040],SRX22506821,USA: Maryland,Plethodon cinereus,skin metagenome,ILLUMINA,DMP28,293,293.5882353,0.978583552,294.1215476,8.52881563,6244,DMP28,270,290.0666667,8.195612267,291.7784813,7.355941606,2022,DMP28,1,1,0,1,0,7,DMP28,1,1,0,NA,NA,16,0.003461919,0.00256246
DMP29,DMP29,temperate woodland biome [ENVO:01000221],skin environment [ENVO:2100003],mucus material [ENVO:02000040],SRX22506822,USA: Maryland,Plethodon cinereus,skin metagenome,ILLUMINA,DMP29,601,616.4,8.680401759,608.5855248,10.86564734,50077,DMP29,381,532,32.41998498,553.6583895,12.69667433,2022,DMP29,9,11,2.858621551,15.13205282,2.135151534,41,DMP29,14,14,0,14,1.690308509,1091,0.020276954,0.021786449
DMP30,DMP30,temperate woodland biome [ENVO:01000221],skin environment [ENVO:2100003],mucus material [ENVO:02000040],SRX22506823,USA: Maryland,Plethodon cinereus,skin metagenome,ILLUMINA,DMP30,409,472.3333333,42.40785654,415.812175,8.603172026,68537,DMP30,228,295.1621622,21.06000782,297.6125951,8.805737245,2022,DMP30,14,16,2.867441756,17.43995244,1.984866755,114,DMP30,20,20,0.487339717,20.53806584,1.615993629,3411,0.056379822,0.049768738
DMP31,DMP31,temperate woodland biome [ENVO:01000221],skin environment [ENVO:2100003],mucus material [ENVO:02000040],SRX22506824,USA: Maryland,Plethodon cinereus,skin metagenome,ILLUMINA,DMP31,1158,1185.028571,10.73637557,1169.787388,16.42965531,37375,DMP31,656,913.5531915,41.36468162,935.975805,16.30796294,2022,DMP31,14,14.25,0.732199208,14.69757609,1.243040684,65,DMP31,17,17,0,17,1.328422328,993,0.03214639,0.026568562
DMP32,DMP32,temperate woodland biome [ENVO:01000221],skin environment [ENVO:2100003],mucus material [ENVO:02000040],SRX22506826,USA: Maryland,Plethodon cinereus,skin metagenome,ILLUMINA,DMP32,319,327.5,5.550590325,324.4839025,8.842527108,50621,DMP32,162,248.6666667,29.25684566,245.6077207,9.025392269,2022,DMP32,35,37.5,3.155682705,38.52052108,3.02680002,1212,DMP32,40,40,0,40,2.091650066,30540,0.599406528,0.603306928
DMP33,DMP33,temperate woodland biome [ENVO:01000221],skin environment [ENVO:2100003],mucus material [ENVO:02000040],SRX22506827,USA: Maryland,Plethodon cinereus,skin metagenome,ILLUMINA,DMP33,598,603.1428571,4.652823831,599.7492208,9.572477489,46655,DMP33,381,490.3258427,24.20853654,514.9831136,11.55537313,2022,DMP33,11,14,4.505948449,12.96834191,1.64836166,797,DMP33,18,18,0.485912658,18.37716775,1.839297498,18709,0.394164194,0.401007395
DMP34,DMP34,temperate woodland biome [ENVO:01000221],skin environment [ENVO:2100003],mucus material [ENVO:02000040],SRX22506828,USA: Maryland,Plethodon cinereus,skin metagenome,ILLUMINA,DMP34,677,686.7142857,6.291613465,680.860115,11.77661525,49408,DMP34,379,508.4411765,26.56680782,569.2773482,13.60506686,2022,DMP34,16,16,0,16,1.854049622,281,DMP34,22,22,0,22,1.965613483,6576,0.138971316,0.133095855
DMP35,DMP35,temperate woodland biome [ENVO:01000221],skin environment [ENVO:2100003],mucus material [ENVO:02000040],SRX22506829,USA: Maryland,Plethodon cinereus,skin metagenome,ILLUMINA,DMP35,1237,1264.12766,10.06626787,1251.654351,17.24162412,44603,DMP35,616,931.5983607,50.63209899,950.0518061,17.59748357,2022,DMP35,37,48,8.868095906,45.42426495,3.005331894,211,DMP35,44,44,0,44,2.105188396,4727,0.104352127,0.105979418
DMP36,DMP36,temperate woodland biome [ENVO:01000221],skin environment [ENVO:2100003],mucus material [ENVO:02000040],SRX22506830,USA: Maryland,Plethodon cinereus,skin metagenome,ILLUMINA,DMP36,1229,1258.176471,13.64435075,1236.053999,15.78762011,60466,DMP36,648,981.5251799,50.90885787,1032.513314,18.90510455,2022,DMP36,20,21.875,2.253549098,26.14997101,2.782200703,70,DMP36,29,30,2.316606714,30.3222872,1.893319405,2455,0.034619189,0.04060133
DMP37,DMP37,temperate woodland biome [ENVO:01000221],skin environment [ENVO:2100003],mucus material [ENVO:02000040],SRX22506831,USA: Maryland,Plethodon cinereus,skin metagenome,ILLUMINA,DMP37,476,482.6,5.136838553,478.221079,10.78684512,9504,DMP37,407,450.5365854,12.51516032,454.3151139,8.261285231,2022,DMP37,18,20,2.871314062,20.58913394,2.079312175,230,DMP37,18,18,0,18,1.58113883,1029,0.113748764,0.108270202
DMP38,DMP38,temperate woodland biome [ENVO:01000221],skin environment [ENVO:2100003],mucus material [ENVO:02000040],SRX22506832,USA: Maryland,Plethodon hoffmani,skin metagenome,ILLUMINA,DMP38,173,176,4.179053557,173.664,6.531387806,20305,DMP38,123,172.2142857,17.85811433,175.7193793,6.974107367,2022,DMP38,15,51,25.57514878,38.175,2.62946343,96,DMP38,18,18,0.485912658,18.2616,2.101564327,878,0.047477745,0.043240581
DMP39,DMP39,temperate woodland biome [ENVO:01000221],skin environment [ENVO:2100003],mucus material [ENVO:02000040],SRX22506833,USA: Maryland,Plethodon cinereus,skin metagenome,ILLUMINA,DMP39,350,354.5882353,3.575064406,353.7463061,9.251301216,17521,DMP39,256,334.32,21.84849859,331.1391928,8.48105509,2022,DMP39,8,9,1.796773514,11.91848041,1.840321935,22,DMP39,10,10,0,10,1.449137675,245,0.010880317,0.01398322
DMP40,DMP40,temperate woodland biome [ENVO:01000221],skin environment [ENVO:2100003],mucus material [ENVO:02000040],SRX22506836,USA: Maryland,Plethodon cinereus,skin metagenome,ILLUMINA,DMP40,405,406.1666667,1.466535422,406.5507231,9.944402144,13981,DMP40,315,396.4285714,21.83794541,396.1663479,9.518326919,2022,DMP40,14,14.33333333,0.918827224,15.05757576,1.705720518,114,DMP40,15,15,0,15,1.549193338,789,0.056379822,0.056433731
DMP41,DMP41,temperate woodland biome [ENVO:01000221],skin environment [ENVO:2100003],mucus material [ENVO:02000040],SRX22506835,USA: Maryland,Plethodon cinereus,skin metagenome,ILLUMINA,DMP41,428,430.625,2.828143318,429.1166381,10.20695313,22695,DMP41,285,373.8923077,22.44946093,397.1147303,11.08901258,2022,DMP41,19,19,0.081110711,19.46794169,2.154708621,574,DMP41,23,23,0,23,1.97814142,6199,0.283877349,0.273143864
DMP42,DMP42,temperate woodland biome [ENVO:01000221],skin environment [ENVO:2100003],mucus material [ENVO:02000040],SRX22506837,USA: Maryland,Plethodon cinereus,skin metagenome,ILLUMINA,DMP42,442,444.3913043,2.218419741,444.7900707,10.32283882,14246,DMP42,343,411.6923077,18.4651181,419.4886719,9.430511171,2022,DMP42,8,8,0.467707173,8.363054412,1.269491963,82,DMP42,10,10,0,10,1.549193338,560,0.040553907,0.03930928
DMP43,DMP43,temperate woodland biome [ENVO:01000221],skin environment [ENVO:2100003],mucus material [ENVO:02000040],SRX22506838,USA: Maryland,Plethodon glutinosus,skin metagenome,ILLUMINA,DMP43,380,391.6666667,8.002083792,383.9750478,9.490279636,12738,DMP43,312,367.8823529,16.806643,359.7354949,8.176909316,2022,DMP43,5,5,0.447213595,5.858752817,1.191166022,39,DMP43,6,6,0,6,1.154700538,299,0.019287834,0.023473073
DMP44,DMP44,temperate woodland biome [ENVO:01000221],skin environment [ENVO:2100003],mucus material [ENVO:02000040],SRX22506839,USA: Maryland,Plethodon glutinosus,skin metagenome,ILLUMINA,DMP44,429,432.0555556,2.699622584,431.4386266,10.28531682,14032,DMP44,329,403.6307692,19.65539621,412.4029066,9.753427367,2022,DMP44,14,15.5,2.569988076,15.47375,1.732071027,99,DMP44,16,16,0.484122918,16.69777778,1.599085436,723,0.048961424,0.051525086
DMP46,DMP46,temperate woodland biome [ENVO:01000221],skin environment [ENVO:2100003],mucus material [ENVO:02000040],SRX22506841,USA: Maryland,Plethodon glutinosus,skin metagenome,ILLUMINA,DMP46,319,330,8.477296874,322.0504558,8.64218775,9196,DMP46,274,288.9090909,6.411484628,296.1823432,7.376223532,2022,DMP46,0,0,NA,NA,NA,0,DMP46,0,0,NA,NA,NA,0,0,0
DMP47,DMP47,freshwater biome [ENVO:00000873],skin environment [ENVO:2100003],mucus material [ENVO:02000040],SRX22507252,USA: Maryland,Notophthalmus viridescens,skin metagenome,ILLUMINA,DMP47,137,137.25,0.620344812,137.8674108,5.829411378,21167,DMP47,75,96.66666667,11.22324771,95.51353276,4.571187649,2022,DMP47,6,6,0,6,0.912870929,30,DMP47,6,6,0,6,0.912870929,275,0.014836795,0.012991921
DMP48,DMP48,freshwater biome [ENVO:00000873],skin environment [ENVO:2100003],mucus material [ENVO:02000040],SRX22506853,USA: Maryland,Notophthalmus viridescens,skin metagenome,ILLUMINA,DMP48,91,91.6,1.059085459,92.32798732,4.733099987,20735,DMP48,49,83.2,21.92109212,77.64050214,4.724068168,2022,DMP48,3,3,0,3,0.816496581,278,DMP48,5,5,0.447213595,6.111111111,1.045211638,2812,0.137487636,0.135616108
DMP49,DMP49,freshwater biome [ENVO:00000873],skin environment [ENVO:2100003],mucus material [ENVO:02000040],SRX22506864,USA: Maryland,Notophthalmus viridescens,skin metagenome,ILLUMINA,DMP49,99,99.3,0.703756859,99.93937246,4.954600597,19963,DMP49,63,99.11111111,19.32160035,98.27623951,5.677597635,2022,DMP49,1,1,0,NA,NA,1,DMP49,1,1,0,NA,NA,16,0.00049456,0.000801483
DMP50,DMP50,freshwater biome [ENVO:00000873],skin environment [ENVO:2100003],mucus material [ENVO:02000040],SRX22507430,USA: Maryland,Notophthalmus viridescens,skin metagenome,ILLUMINA,DMP50,115,115.125,0.443677486,115.4898708,5.330456874,20585,DMP50,75,95.64705882,10.47923895,106.9954126,6.024049072,2022,DMP50,4,4,0.216506351,4.694444444,0.996581715,134,DMP50,6,6,0,6,0.912870929,1463,0.066271019,0.071071168
DMP51,DMP51,freshwater biome [ENVO:00000873],skin environment [ENVO:2100003],mucus material [ENVO:02000040],SRX22507441,USA: Maryland,Notophthalmus viridescens,skin metagenome,ILLUMINA,DMP51,67,67,0.082709105,67.23731992,4.066352335,29655,DMP51,40,67.14285714,16.49666698,66.82778646,4.301682479,2022,DMP51,2,2,0,2,0,6,DMP51,2,2,0,NA,NA,56,0.002967359,0.001888383
DMP52,DMP52,freshwater biome [ENVO:00000873],skin environment [ENVO:2100003],mucus material [ENVO:02000040],SRX22507068,USA: Maryland,Notophthalmus viridescens,skin metagenome,ILLUMINA,DMP52,258,262.5833333,3.821938847,261.2499538,7.983578682,68017,DMP52,112,202.0526316,32.45800987,237.220341,10.20304443,2022,DMP52,8,11,4.114829059,16.99591837,1.929786145,45,DMP52,15,15,0,15,1.897366596,1461,0.022255193,0.021479924
DMP53,DMP53,freshwater biome [ENVO:00000873],skin environment [ENVO:2100003],mucus material [ENVO:02000040],SRX22507079,USA: Maryland,Notophthalmus viridescens,skin metagenome,ILLUMINA,DMP53,148,148.6,1.059219093,149.2425664,6.039665271,26402,DMP53,93,137.4,19.64727803,142.2512072,6.641760339,2022,DMP53,4,4,0.216506351,5.032921811,1.065803734,25,DMP53,5,5,0,NA,NA,322,0.012363996,0.012196046
DMP54,DMP54,freshwater biome [ENVO:00000873],skin environment [ENVO:2100003],mucus material [ENVO:02000040],SRX22507405,USA: Maryland,Notophthalmus viridescens,skin metagenome,ILLUMINA,DMP54,143,144.4285714,1.934583421,144.4833862,5.821543259,44331,DMP54,80,99.25,10.86804303,96.37289972,4.534186099,2022,DMP54,2,2,0,2,0.707106781,19,DMP54,4,4,0,4,1,477,0.009396637,0.010759965
DMP55,DMP55,freshwater biome [ENVO:00000873],skin environment [ENVO:2100003],mucus material [ENVO:02000040],SRX22507406,USA: Maryland,Notophthalmus viridescens,skin metagenome,ILLUMINA,DMP55,176,185.4285714,7.257795277,180.3187724,6.54344265,83447,DMP55,73,94.9375,11.14224975,106.3085699,5.475058365,2022,DMP55,8,9,1.796773514,10.6875,1.593499388,41,DMP55,10,10,0.474341649,NA,NA,1839,0.020276954,0.02203794
DMP56,DMP56,freshwater biome [ENVO:00000873],skin environment [ENVO:2100003],mucus material [ENVO:02000040],SRX22506869,USA: Maryland,Notophthalmus viridescens,skin metagenome,ILLUMINA,DMP56,103,103,0.04975669,103.2225676,5.047264018,56383,DMP56,39,50.66666667,7.99721274,54.57790916,3.714936804,2022,DMP56,5,5,0.223606798,5.390987711,0.714876131,14,DMP56,7,7,0,7,0.9258201,301,0.006923838,0.005338489
DMP57,DMP57,freshwater biome [ENVO:00000873],skin environment [ENVO:2100003],mucus material [ENVO:02000040],SRX22506880,USA: Maryland,Notophthalmus viridescens,skin metagenome,ILLUMINA,DMP57,111,112.6666667,2.204696982,112.6883879,5.225706514,71826,DMP57,43,77.2,21.91946449,68.3757051,5.181977894,2022,DMP57,3,4,2.121320344,6.9,1.137649732,6,DMP57,6,6,0,6,0.912870929,292,0.002967359,0.00406538
DMP58,DMP58,freshwater biome [ENVO:00000873],skin environment [ENVO:2100003],mucus material [ENVO:02000040],SRX22507447,USA: Maryland,Notophthalmus viridescens,skin metagenome,ILLUMINA,DMP58,98,98.125,0.443643947,98.56084094,4.927565124,68863,DMP58,45,73.875,16.69222139,86.98762462,5.617940532,2022,DMP58,5,5,0.149071198,5.571428571,1.132566994,59,DMP58,7,7,0,7,1.195228609,2314,0.029179031,0.033602951
DMP59,DMP59,freshwater biome [ENVO:00000873],skin environment [ENVO:2100003],mucus material [ENVO:02000040],SRX22507458,USA: Maryland,Notophthalmus viridescens,skin metagenome,ILLUMINA,DMP59,179,180.6153846,1.884095268,181.3618584,6.660503341,42772,DMP59,91,143.9285714,23.09739139,141.4515235,5.943045738,2022,DMP59,6,9,4.099457959,16,0.960238143,86,DMP59,8,8,0,8,1.224744871,2124,0.042532146,0.049658655
DMP60,DMP60,freshwater biome [ENVO:00000873],skin environment [ENVO:2100003],mucus material [ENVO:02000040],SRX22507085,USA: Maryland,Notophthalmus viridescens,skin metagenome,ILLUMINA,DMP60,100,101.6666667,2.204591949,101.3121875,4.934701625,16063,DMP60,66,77,6.287556419,91.05394211,5.780996917,2022,DMP60,3,3,0,3,0.816496581,89,DMP60,4,4,0,4,0.866025404,742,0.044015826,0.046193115
DMPF01,DMPF01,temperate woodland biome [ENVO:01000221],soil environment [ENVO:01001044],soil [ENVO:00001998],SRX22507415,USA: Maryland,not applicable,soil metagenome,ILLUMINA,DMPF01,378,384.5625,4.626364606,381.8672747,9.61875123,7017,DMPF01,336,365.5,10.21099458,368.0879734,8.050283696,2022,DMPF01,1,1,0,1,0,6,DMPF01,2,2,0,2,0.707106781,23,0.002967359,0.003277754
